"jmdict_seq","kanji","kana","waller_definition","origin","original"
1588730,,"えらぶ","to choose","jmdict","選ぶ"
1178450,,"えんりょ","to be reserved, to be restrained","waller",
1001180,,"おいでになる","(respectful) to be","waller",
1001180,"お出でになる","おいでになる","(respectful) to be","jmdict","おいでになる"
1001180,"御出でになる","おいでになる","(respectful) to be","jmdict","おいでになる"
1612770,,"おいわい","congratulation","waller",
1612770,,"おいわい","congratulation","jmdict","お祝い"
1032030,,"オートバイ","motorcycle","waller",
1001640,,"おかげ","owing to","waller",
1001640,,"おかげ","owing to","jmdict","おかげ"
1190860,,"おかしい","strange or funny","waller",
1190860,"可笑しい","おかしい","strange or funny","jmdict","おかしい"
1190860,,"おかしい","strange or funny","jmdict","おかしい"
1182620,,"おく","one hundred million","waller",
1182710,"屋上","おくじょう","rooftop","waller",
1589030,,"おくりもの","gift","waller",
1589030,,"おくりもの","gift","jmdict","贈り物"
1402730,"送る","おくる","to send","waller",
1589040,"遅れる","おくれる","to be late","waller",
1589040,"後れる","おくれる","to be late","jmdict","遅れる"
1223660,"起す","おこす","to wake","waller",
1223660,"起こす","おこす","to wake","jmdict","起す"
1589060,"行う","おこなう","to do","waller",
1589060,"行なう","おこなう","to do","jmdict","行う"
1445690,"怒る","おこる","to get angry,to be angry","waller",
1589110,"押し入れ","おしいれ","closet","waller",
1589110,"押入","おしいれ","closet","jmdict","押し入れ"
1589110,"押入れ","おしいれ","closet","jmdict","押し入れ"
1002170,,"おじょうさん","young lady","waller",
1002170,,"おじょうさん","young lady","jmdict","お嬢さん"
1002400,"お宅","おたく","(polite) your house","waller",
1002400,"御宅","おたく","(polite) your house","jmdict","お宅"
1548550,"落る","おちる","to fall or drop","waller",
1548550,"落ちる","おちる","to fall or drop","jmdict","落る"
1548550,,"おちる","to fall or drop","jmdict","落る"
1238840,,"おっしゃる","(respectful) to say","waller",
1238840,,"おっしゃる","(respectful) to say","jmdict","おっしゃる"
1496480,"夫","おっと","husband","waller",
1496480,"良人","おっと","husband","jmdict","夫"
1270550,,"おつり","change from purchase, balance","waller",
1270550,,"おつり","change from purchase, balance","jmdict","おつり"
1576900,"音","おと","sound,note","waller",
1589260,"落す","おとす","to drop","waller",
1589260,"落とす","おとす","to drop","jmdict","落す"
1546880,,"おどり","a dance","waller",
1538440,,"おどる","to dance","waller",
1238680,,"おどろく","to be surprised","waller",
1238680,,"おどろく","to be surprised","jmdict","驚く"
1604135,,"おまつり","festival","waller",
1604135,,"おまつり","festival","jmdict","お祭り"
1001870,"お見舞い","おみまい","calling on someone who is ill,enquiry","waller",
1001870,"お見舞","おみまい","calling on someone who is ill,enquiry","jmdict","お見舞い"
1001870,"御見舞い","おみまい","calling on someone who is ill,enquiry","jmdict","お見舞い"
1001870,"御見舞","おみまい","calling on someone who is ill,enquiry","jmdict","お見舞い"
1002500,"お土産","おみやげ","souvenir","waller",
1002500,"お土産","おみあげ","souvenir","jmdict","おみやげ"
1002500,"御土産","おみやげ","souvenir","jmdict","お土産"
1002500,"御土産","おみあげ","souvenir","jmdict","お土産"
1309260,"思い出す","おもいだす","to remember","waller",
1309260,"思いだす","おもいだす","to remember","jmdict","思い出す"
1309260,"おもい出す","おもいだす","to remember","jmdict","思い出す"
1309260,"思出す","おもいだす","to remember","jmdict","思い出す"
1589350,"思う","おもう","to think,to feel","waller",
1589350,"想う","おもう","to think,to feel","jmdict","思う"
1589350,"念う","おもう","to think,to feel","jmdict","思う"
1589350,,"おもう","to think,to feel","jmdict","思う"
1217070,,"おもちゃ","toy","waller",
1217070,,"おもちゃ","toy","jmdict","おもちゃ"
1217070,,"がんぐ","toy","jmdict","おもちゃ"
1217070,,"オモチャ","toy","jmdict","おもちゃ"
1489340,"表","おもて","the front","waller",
1365040,"親","おや","parents","waller",
1365040,"祖","おや","parents","jmdict","親"
1589500,"下りる","おりる","to get off","waller",
1385910,"折る","おる","to break or to fold","waller",
1270810,"お礼","おれい","expression of gratitude","waller",
1270810,"御礼","おれい","expression of gratitude","jmdict","お礼"
1270810,"御礼","おんれい","expression of gratitude","jmdict","お礼"
1385920,"折れる","おれる","to break or be folded","waller",
1589590,"終わり","おわり","the end","waller",
1589590,"終り","おわり","the end","jmdict","終わり"
1589590,"終","おわり","the end","jmdict","終わり"
1036290,,"カーテン","curtain","waller",
1201280,,"かいがん","coast","waller",
1198360,"会議","かいぎ","meeting","waller",
1198380,"会議室","かいぎしつ","meeting room","waller",
1198660,"会場","かいじょう","assembly hall or meeting place","waller",
1198880,"会話","かいわ","conversation","waller",
1221250,"帰り","かえり","return","waller",
1221250,,"かえり","return","jmdict","帰り"
1510650,"変える","かえる","to change","waller",
1192700,"科学","かがく","science","waller",
1238550,,"かがみ","mirror","waller",
1357210,,"かざる","to decorate","waller",
1357210,,"かざる","to decorate","jmdict","飾る"
1193950,"火事","かじ","fire","waller",
1040060,,"ガス","petrol","waller",
1040060,,"ガス","petrol","jmdict","ガス"
1040250,,"ガソリン","petrol","waller",
1040260,,"ガソリンスタンド","petrol station","waller",
1040260,,"ガソリン・スタンド","petrol station","jmdict","ガソリンスタンド"
1257110,,"かたい","hard","waller",
1257110,,"かたい","hard","jmdict","堅い・硬い・固い"
1250220,"形","かたち","shape","waller",
1250220,"容","かたち","shape","jmdict","形"
1250220,"容","よう","shape","jmdict","形"
1250220,,"かたち","shape","jmdict","形"
1511790,,"かたづける","to tidy up","waller",
1511790,,"かたづける","to tidy up","jmdict","片付ける"
1195840,,"かちょう","section manager","waller",
